Structure_ID,Steere_ID,Database_Appearance,Site_Name,Site_Number,State,County,Period,Period_Certainty,Type,Structure,Shape_Class,Long_dimension,Short_dimension,Area_square_m,Functional_Class,Reference
1192,555,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,9,Elliptical,8.6,8.6,58.09999847,D,Ledbetter 2007; Steere 2011
1197,556,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,10,Rectangular,3.599999905,2.900000095,10.39999962,D,Ledbetter 2007; Steere 2011
1198,557,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,1,Rectangular,3,2.299999952,6.900000095,D,Ledbetter 2007; Steere 2011
1207,312,2014_03_12,9-Wh-120,9-Wh-120,GA,White GA,09 EM/Miss,,Structure,1,Rectangular,7.5,7.2,52,D,Steere 2011; S. Webb personal communication to B. Steere 2007
1208,313,2014_03_12,9-Wh-120,9-Wh-120,GA,White GA,09 EM/Miss,,Structure,2,Rectangular,6.699999809,4.599999905,29,D,Steere 2011; S. Webb personal communication to B. Steere 2007
1209,105,2014_03_12,Alarka Farmstead,31-Sw-173,NC,Swain NC,11 PH/H,,Structure,Winter House,Rectangular,7,7,40,D,Shumate et al. 2005; Steere 2011
1210,106,2014_03_12,Alarka Farmstead,31-Sw-173,NC,Swain NC,11 PH/H,,Structure,Summer House,Rectangular,10,4.5,45,D,Shumate et al. 2005; Steere 2011
1211,695,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,1,Rectangular,5.5,4.900000095,27,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1212,696,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,2,Rectangular,4.300000191,4.300000191,18.5,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1213,697,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,3,Rectangular,4.599999905,4.599999905,21.20000076,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1214,698,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,4,Rectangular,4.300000191,4.300000191,18.5,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1215,699,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,1,Rectangular,10.10000038,8.5,85.90000153,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1216,700,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,2,Rectangular,6.599999905,6.400000095,42.20000076,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1217,701,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,3,Rectangular,15.19999981,12.19999981,185.3999939,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1218,702,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,4,Rectangular,7.599999905,7,53.20000076,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1219,703,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,5,Rectangular,19.5,6.400000095,124.8000031,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1220,704,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,6,Rectangular,6.099999905,,,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1221,705,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,7,Rectangular,11.19999981,5.300000191,59.40000153,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1222,706,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,1,Rectangular,18.5,11.89999962,220.1999969,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1223,707,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,2,Rectangular,10.80000019,7.800000191,83.90000153,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1224,708,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,3,Rectangular,9,8.699999809,78,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1225,709,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,4,Rectangular,16.39999962,10.69999981,175.5,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1226,710,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,5,Rectangular,8.699999809,7.199999809,62.59999847,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1227,711,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,6,Rectangular,11.89999962,9.100000381,108.3000031,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1228,712,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,7,Rectangular,7.199999809,6.099999905,43.90000153,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1229,713,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,8,Elliptical,8.1,8.1,51.5,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1230,714,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,9,Elliptical,10.2,10.2,81.69999695,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1231,715,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,10,Rectangular,8.800000191,7.5,66,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1232,716,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,11,Rectangular,12.80000019,9,115.1999969,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1233,717,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,12,Elliptical,,,,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1234,718,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,13,Rectangular,5.5,5.300000191,29.10000038,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1235,719,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,14,Rectangular,7.5,5.800000191,43.5,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1236,31,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,2,Elliptical,5.489999771,4.650000095,25.53000069,D,Cable et al. 1997:148-162; Steere 2011
1237,32,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,8,Elliptical,7.650000095,5.050000191,38.63000107,D,Cable et al. 1997:148-162; Steere 2011
1238,33,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,9,Elliptical,6.460000038,5.75,37.15000153,D,Cable et al. 1997:148-162; Steere 2011
1239,34,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,11,Elliptical,7.329999924,5.360000134,39.29000092,D,Cable et al. 1997:148-162; Steere 2011
1240,35,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,33,Elliptical,7.329999924,6.670000076,48.88999939,D,Cable et al. 1997:148-162; Steere 2011
1241,36,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,37,Elliptical,6.690000057,6.420000076,42.95000076,D,Cable et al. 1997:148-162; Steere 2011
1242,37,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,38,Elliptical,6.980000019,5.639999866,39.36999893,D,Cable et al. 1997:148-162; Steere 2011
1243,38,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,06 MW,,Structure,39,Elliptical,5.300000191,5.230000019,27.71999931,D,Cable et al. 1997:148-162; Steere 2011
1244,39,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,12,Elliptical,5,5,17.79000092,D,Cable et al. 1997:148-162; Steere 2011
1245,40,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,13,Elliptical,6,6,25.95000076,D,Cable et al. 1997:148-162; Steere 2011
1246,41,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,14,Elliptical,6,6,23.75,D,Cable et al. 1997:148-162; Steere 2011
1247,42,2014_03_12,Brasstown Valley,9-To-45/48/49,GA,Towns GA,08 LW/LP,,Structure,16,Elliptical,6,6,32.34999847,D,Cable et al. 1997:148-162; Steere 2011
